Timestamp,What is your favorite sports? ,How many siblings do you have?
2/8/2023 15:06:45,basketball,2
2/8/2023 15:06:50,badminton,4
2/8/2023 15:06:54,others,1
2/8/2023 15:06:58,basketball,2
2/8/2023 15:07:03,others,0
2/8/2023 15:07:04,others,1
2/8/2023 15:07:07,Hockey,1
2/8/2023 15:07:09,others,1
2/8/2023 15:07:23,others,1
2/8/2023 15:07:28,basketball,2
2/8/2023 15:07:33,badminton,1
2/8/2023 15:07:34,others,0
2/8/2023 15:07:36,badminton,1
2/8/2023 15:07:36,badminton,0
2/8/2023 15:07:38,badminton,2
2/8/2023 15:07:58,basketball,0
2/8/2023 15:08:10,basketball,1
2/8/2023 15:08:54,others,1
2/8/2023 15:08:57,others,1
2/8/2023 15:09:15,basketball,0
2/8/2023 15:09:45,football,2
2/8/2023 15:10:51,others,2
2/8/2023 15:11:03,basketball,0
