,spending
0,2.95
1,8.14
2,5.36
3,2.12
4,1.79
5,7.49
6,0.0
7,1.16
8,2.09
9,12.33
10,4.47
11,8.46
12,5.01
13,3.34
14,4.94
15,0.0
16,4.53
17,3.48
18,4.34
19,5.04
20,4.36
21,9.56
22,1.81
23,0.0
24,6.13
25,3.78
26,4.53
27,5.41
28,6.31
29,1.55
30,0.0
31,3.96
32,4.41
33,3.85
34,7.44
35,3.72
36,7.75
37,9.37
38,3.67
39,3.72
40,1.8
41,5.29
42,3.84
43,2.38
44,2.22
45,6.02
46,3.66
47,4.53
48,7.28
49,3.47
50,0.0
51,0.88
52,4.47
53,7.52
54,5.34
55,3.28
56,2.09
57,9.64
58,2.94
59,6.93
60,2.09
61,8.16
62,5.6
63,5.36
64,2.41
65,3.4
66,5.18
67,4.98
68,5.19
69,7.16
70,5.24
71,8.09
72,2.88
73,1.58
74,6.28
75,5.98
76,4.32
77,6.3
78,7.17
79,2.66
80,5.57
81,2.58
82,2.46
83,8.06
84,7.84
85,4.93
86,7.32
87,4.38
88,4.81
89,7.96
90,3.04
91,2.94
92,5.54
93,4.51
94,3.94
95,2.17
96,9.94
97,2.68
98,6.98
99,8.96
100,2.08
101,2.9
102,5.34
103,4.74
104,2.28
105,5.24
106,4.8
107,5.38
108,3.51
109,4.58
110,1.93
111,7.95
112,8.58
113,6.38
114,7.26
115,4.32
116,4.93
117,1.67
118,3.94
119,1.32
120,3.92
121,4.96
122,7.7
123,4.0
124,3.19
125,7.48
126,1.3
127,3.89
128,3.56
129,1.09
130,7.03
131,8.03
132,7.94
133,3.72
134,6.83
135,3.66
136,8.16
137,3.9
138,5.72
139,9.32
140,3.88
141,6.39
142,4.46
143,5.24
144,2.69
145,5.46
146,7.9
147,7.18
148,5.72
149,2.81
150,7.68
151,5.88
152,10.09
153,6.17
154,7.02
155,4.07
156,6.95
157,6.3
158,9.22
159,3.42
160,6.32
161,3.56
162,4.85
163,5.94
164,8.8
165,9.54
166,6.1
167,7.39
168,7.51
169,3.89
170,4.1
171,4.79
172,7.28
173,5.48
174,8.38
175,5.21
176,1.98
177,8.69
178,5.0
179,8.77
180,9.16
181,1.71
182,0.0
183,5.88
184,2.32
185,4.65
186,5.21
187,4.65
188,0.0
189,1.94
190,6.11
191,5.61
192,2.32
193,4.73
194,5.3
195,4.08
196,0.0
197,7.52
198,4.31
199,3.48
200,5.12
201,4.0
202,4.2
203,9.44
204,2.92
205,6.9
206,5.18
207,2.37
208,9.0
209,7.54
210,7.76
211,9.18
212,5.41
213,10.03
