"","food_prep"
"1",15
"2",2
"3",60
"4",45
"5",0
"6",5
"7",0
"8",0
"9",0
"10",40
"11",0
"12",30
"13",0
"14",25
"15",0
"16",0
"17",0
"18",40
"19",145
"20",120
"21",0
"22",0
"23",60
"24",0
"25",0
"26",15
"27",0
"28",30
"29",30
"30",36
"31",60
"32",0
"33",20
"34",20
"35",0
"36",60
"37",10
"38",105
"39",97
"40",0
"41",0
"42",0
"43",0
"44",9
"45",0
"46",0
"47",35
"48",0
"49",90
"50",0
"51",0
"52",32
"53",60
"54",0
"55",30
"56",0
"57",50
"58",120
"59",25
"60",150
"61",30
"62",55
"63",60
"64",105
"65",0
"66",15
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",30
"74",0
"75",0
"76",45
"77",30
"78",0
"79",0
"80",40
"81",55
"82",30
"83",30
"84",91
"85",2
"86",0
"87",0
"88",10
"89",0
"90",60
"91",10
"92",0
"93",30
"94",30
"95",0
"96",60
"97",0
"98",90
"99",60
"100",0
"101",60
"102",0
"103",195
"104",0
"105",30
"106",120
"107",105
"108",15
"109",0
"110",0
"111",30
"112",0
"113",8
"114",0
"115",100
"116",55
"117",0
"118",4
"119",60
"120",0
"121",0
"122",60
"123",110
"124",0
"125",0
"126",15
"127",20
"128",60
"129",15
"130",0
"131",45
"132",0
"133",45
"134",0
"135",10
"136",0
"137",120
"138",27
"139",0
"140",30
"141",0
"142",0
"143",0
"144",36
"145",0
"146",55
"147",20
"148",30
"149",30
"150",60
"151",0
"152",0
"153",0
"154",20
"155",65
"156",25
"157",20
"158",30
"159",15
"160",30
"161",105
"162",60
"163",15
"164",0
"165",85
"166",70
"167",117
"168",55
"169",0
"170",20
"171",0
"172",0
"173",0
"174",0
"175",0
"176",45
"177",1
"178",75
"179",0
"180",35
"181",0
"182",0
"183",15
"184",0
"185",0
"186",0
"187",120
"188",60
"189",0
"190",210
"191",0
"192",0
"193",150
"194",30
"195",45
"196",0
"197",0
"198",25
"199",0
"200",85
"201",90
"202",0
"203",31
"204",260
"205",20
"206",15
"207",10
"208",0
"209",10
"210",90
"211",0
"212",45
"213",35
"214",30
"215",50
"216",0
"217",0
"218",40
"219",54
"220",0
"221",35
"222",0
"223",15
"224",15
"225",0
"226",35
"227",0
"228",0
"229",15
"230",0
"231",95
"232",0
"233",5
"234",140
"235",30
"236",0
"237",100
"238",40
"239",10
"240",105
"241",0
"242",60
"243",5
"244",0
"245",0
"246",30
"247",15
"248",30
"249",80
"250",0
"251",320
"252",30
"253",0
"254",5
"255",65
"256",0
"257",0
"258",0
"259",60
"260",0
"261",0
"262",4
"263",0
"264",45
"265",0
"266",0
"267",30
"268",0
"269",30
"270",125
"271",30
"272",60
"273",0
"274",80
"275",0
"276",60
"277",30
"278",180
"279",0
"280",60
"281",30
"282",0
"283",30
"284",25
"285",45
"286",30
"287",20
"288",0
"289",0
"290",210
"291",130
"292",0
"293",60
"294",70
"295",0
"296",60
"297",50
"298",50
"299",25
"300",0
"301",60
"302",40
"303",0
"304",90
"305",50
"306",0
"307",15
"308",32
"309",240
"310",1
"311",90
"312",30
"313",0
"314",0
"315",45
"316",30
"317",60
"318",0
"319",0
"320",10
"321",30
"322",0
"323",0
"324",90
"325",0
"326",60
"327",10
"328",0
"329",60
"330",50
"331",30
"332",20
"333",0
"334",1
"335",10
"336",15
"337",0
"338",0
"339",45
"340",20
"341",5
"342",60
"343",0
"344",60
"345",80
"346",0
"347",30
"348",80
"349",120
"350",10
"351",0
"352",45
"353",10
"354",55
"355",0
"356",60
"357",0
"358",15
"359",0
"360",90
"361",0
"362",20
"363",120
"364",5
"365",0
"366",90
"367",45
"368",0
"369",0
"370",0
"371",0
"372",130
"373",2
"374",40
"375",0
"376",0
"377",5
"378",0
"379",5
"380",0
"381",0
"382",1
"383",10
"384",150
"385",0
"386",120
"387",10
"388",5
"389",0
"390",10
"391",90
"392",90
"393",60
"394",0
"395",20
"396",60
"397",0
"398",0
"399",0
"400",0
