title,popular_rank,startYear,runtime,type,origin_country,language,rating,US_country,English_language
Polly Pocket,3345,2018,22,tvSeries,Canada,English,6.7,FALSE,TRUE
O Matador,2824,2017,99,movie,Brazil,Portuguese,6.1,FALSE,FALSE
Livet i 8 bitar,5590,2002,85,movie,Sweden,Swedish,4.8,FALSE,FALSE
Day of the Dead: Bloodline,988,2017,90,movie,Bulgaria,English,3.4,FALSE,TRUE
Abzurdah,1849,2015,90,movie,Argentina,Spanish,5.4,FALSE,FALSE
World on Fire,869,2019,57,tvSeries,United Kingdom,English,7.3,FALSE,TRUE
Jack of all Trades,4201,2018,85,movie,Canada,English,5.8,FALSE,TRUE
The Epic Tales of Captain Underpants in Space,4441,2020,24,tvSeries,United States,English,7.3,TRUE,TRUE
Operation Brothers,755,2019,129,movie,Canada,English,6.6,FALSE,TRUE
Richie Rich,1896,2015,22,tvSeries,United States,English,3.3,TRUE,TRUE
Moonbeams,6045,2001,81,movie,United States,English,8.1,TRUE,TRUE
The Jungle Book,5001,2010,30,tvSeries,India,English,4.2,FALSE,TRUE
Once Upon a Time in London,1784,2019,111,movie,United Kingdom,English,5.5,FALSE,TRUE
 Kiss Me First,12930,2018,46,tvEpisode,United Kingdom,English,6.9,FALSE,TRUE
Booba,2715,2014,96,tvSeries,United Kingdom,None,6.9,FALSE,FALSE
Nuestros amantes,2819,2016,88,movie,Spain,Spanish,6.7,FALSE,FALSE
Life's Too Short,1566,2011,30,tvSeries,United Kingdom,English,7.5,FALSE,TRUE
Swearnet: The Movie,2199,2014,112,movie,Canada,English,5.9,FALSE,TRUE
Franco Escamilla: Bienvenido al Mundo,5138,2019,54,tvSpecial,Mexico,Spanish,7.1,FALSE,FALSE
Aetaneun Romaenseu,2060,2017,47,tvSeries,South Korea,Korean,7.1,FALSE,FALSE
Annyeong? Naya!,2221,2021,65,tvSeries,South Korea,Korean,7.2,FALSE,FALSE
Bridegroom,3956,2013,80,movie,United States,English,8,TRUE,TRUE
I Don't Feel at Home in This World Anymore.,770,2017,93,movie,United States,English,6.9,TRUE,TRUE
Chevolution,5772,2008,86,movie,Mexico,Spanish,6.5,FALSE,FALSE
Trixie Mattel: Moving Parts,3440,2019,91,movie,United States,English,7.3,TRUE,TRUE
Rundfunk: Jachterwachter,3619,2020,89,movie,Netherlands,Dutch,5.8,FALSE,FALSE
Upin & Ipin,3912,2007,7,tvSeries,Malaysia,Malay,5.7,FALSE,FALSE
Mostly Sunny,2576,2016,83,movie,Canada,English,5.4,FALSE,TRUE
Thomas the Tank Engine & Friends,1008,1984,11,tvSeries,United Kingdom,Spanish,6.6,FALSE,FALSE
Baywatch,107,2017,116,movie,United Kingdom,English,5.5,FALSE,TRUE
Nate Bargatze: The Greatest Average American,3103,2021,60,tvSpecial,United States,English,7.3,TRUE,TRUE
Bitten,1096,2014,44,tvSeries,Canada,English,7,FALSE,TRUE
Gun,3541,2010,82,movie,United States,English,3.8,TRUE,TRUE
7 Chinese Brothers,3980,2015,76,movie,United States,English,5.6,TRUE,TRUE
Shot in the Dark,3329,2017,37,tvSeries,United States,English,8,TRUE,TRUE
Lady Dynamite,1795,2016,30,tvSeries,United States,English,7.4,TRUE,TRUE
Danur: I Can See Ghosts,4566,2017,74,movie,Indonesia,Indonesian,5.4,FALSE,FALSE
Heaven Sent,4401,2015,88,movie,United States,English,5.5,TRUE,TRUE
Maximum Conviction,2226,2012,98,movie,United States,English,4.8,TRUE,TRUE
From the Dark,2193,2014,90,movie,Ireland,English,4.9,FALSE,TRUE
Yoake tsugeru Rû no uta,2579,2017,112,movie,Japan,Japanese,6.8,FALSE,FALSE
 Tiny House Nation,6651,2019,40,tvEpisode,United States,English,7.3,TRUE,TRUE
Tuca & Bertie,1101,2019,26,tvSeries,United States,English,7.4,TRUE,TRUE
Girls Incarcerated: Young and Locked Up,3582,2018,45,tvSeries,United States,English,7.3,TRUE,TRUE
Sons of Anarchy,55,2008,45,tvSeries,United States,English,8.5,TRUE,TRUE
Chi m'ha visto,5005,2017,105,movie,Italy,Italian,5.7,FALSE,FALSE
The New Legends of Monkey,1256,2018,24,tvSeries,Australia,English,6.5,FALSE,TRUE
Mrs. Serial Killer,2775,2020,106,movie,India,Hindi,4.8,FALSE,FALSE
Against the Sun,2429,2014,100,movie,United States,English,6.5,TRUE,TRUE
Radium Girls,1063,2018,102,movie,United States,English,6.2,TRUE,TRUE
La víctima número 8,2111,2018,53,tvSeries,Spain,Spanish,7,FALSE,FALSE
Freud,1015,2020,55,tvSeries,Austria,German,6.5,FALSE,FALSE
Western,4988,2015,92,movie,Mexico,English,6,FALSE,TRUE
Sun Belt Express,4282,2014,91,movie,United States,English,6.2,TRUE,TRUE
El Hijo,2463,2019,92,movie,Argentina,Spanish,5.5,FALSE,FALSE
The Worthy,2370,2016,99,movie,United Arab Emirates,Arabic,5.2,FALSE,FALSE
Parchís: El documental,5697,2019,106,movie,Spain,Spanish,6.7,FALSE,FALSE
The Croods,645,2013,98,movie,United States,English,7.2,TRUE,TRUE
Stalked by My Doctor: The Return,3045,2016,97,tvMovie,United States,English,5.7,TRUE,TRUE
Aruna & Her Palate,4546,2018,106,movie,Indonesia,Indonesian,7.2,FALSE,FALSE
Velvet Buzzsaw,977,2019,113,movie,United States,English,5.7,TRUE,TRUE
W lesie dzis nie zasnie nikt,967,2020,102,movie,Poland,Polish,4.8,FALSE,FALSE
Too Funny to Fail: The Life & Death of The Dana Carvey Show,2889,2017,92,movie,United States,English,7.7,TRUE,TRUE
Romeo & Juliet,1211,2013,118,movie,United Kingdom,Latin,5.8,FALSE,FALSE
 The Missing,11019,2014,56,tvEpisode,United Kingdom,English,8,FALSE,TRUE
Dare Me,1018,2019,42,tvSeries,United States,English,6.7,TRUE,TRUE
The Dawn Wall,1430,2017,100,movie,Austria,English,8.1,FALSE,TRUE
 The Umbrella Academy,6431,2020,47,tvEpisode,United States,English,8.4,TRUE,TRUE
Binsenjo,191,2021,80,tvSeries,South Korea,Korean,8.6,FALSE,FALSE
The Protector,638,2018,40,tvSeries,Turkey,Turkish,6.7,FALSE,FALSE
One Strange Rock,1850,2018,47,tvSeries,United States,English,8.8,TRUE,TRUE
Kankerlijers,4396,2014,93,movie,Netherlands,Dutch,6.2,FALSE,FALSE
Blanche comme neige,2099,2019,112,movie,France,French,5.3,FALSE,FALSE
The Characters,2448,2016,30,tvSeries,United States,English,5.4,TRUE,TRUE
Voor elkaar gemaakt,4676,2017,93,movie,Netherlands,Dutch,6.2,FALSE,FALSE
Teen Titans Go!,715,2013,10,tvSeries,United States,English,5.3,TRUE,TRUE
Narcos,112,2015,49,tvSeries,United States,English,8.8,TRUE,TRUE
The Bold Type,62,2017,45,tvSeries,United States,English,7.9,TRUE,TRUE
Dilwale,2058,2015,158,movie,India,Hindi,5.1,FALSE,FALSE
Mechanic: Resurrection,766,2016,98,movie,United States,English,5.7,TRUE,TRUE
 GLOW,12746,2017,37,tvEpisode,United States,English,7.8,TRUE,TRUE
Shaun the Sheep: Adventures from Mossy Bottom,3371,2020,14,tvSeries,United Kingdom,English,8.1,FALSE,TRUE
Aenggeurimam,4106,2015,70,tvSeries,South Korea,Korean,7.6,FALSE,FALSE
Børning 3,2209,2020,100,movie,Norway,Swedish,5.1,FALSE,FALSE
Larceny,4301,2017,87,movie,United States,English,3.5,TRUE,TRUE
The Fundamentals of Caring,718,2016,97,movie,United States,English,7.3,TRUE,TRUE
