Opponent,Set,Location,Overall Result,Result,K,E,TA,Sideout_Won,Sideout_Attempt,Score,Opp_Score,Opp_K,Opp_E,Opp_TA,Opp_SO_Won,Opp_SO_Attempt
Georgia Tech,1,Neutral,L,L,14,6,33,13,25,21,25,16,7,37,13,21
Georgia Tech,2,Neutral,,L,13,5,26,13,24,15,25,13,0,22,14,16
Georgia Tech,3,Neutral,,L,9,8,36,15,25,17,25,9,6,28,15,17
Ole Miss,1,Away,W,W,13,4,24,14,17,25,16,10,8,31,13,24
Ole Miss,2,Away,,W,17,7,33,14,24,26,24,13,5,28,14,26
Ole Miss,3,Away,,L,7,5,28,12,25,18,25,16,5,29,12,18
Ole Miss,4,Away,,W,12,7,28,13,20,25,20,9,5,26,13,25
Colorado,1,Away,L,L,13,7,32,,,25,27,17,4,35,,
Colorado,2,Away,,L,14,6,33,,,18,25,14,1,25,,
Colorado,3,Away,,L,13,7,43,,,22,25,15,4,40,,
Washington,1,Neutral,L,L,11,8,38,9,24,12,25,14,0,33,10,13
Washington,2,Neutral,,W,13,2,27,15,23,25,22,13,7,33,14,24
Washington,3,Neutral,,L,14,7,35,14,24,22,25,16,4,36,15,23
Washington,4,Neutral,,L,9,6,29,16,25,19,25,13,6,30,16,19
Missouri State,1,Neutral,W,L,19,8,38,15,25,23,25,7,3,23,15,23
Missouri State,2,Neutral,,W,14,4,28,10,14,25,14,7,3,24,10,25
Missouri State,3,Neutral,,W,12,1,22,10,12,25,11,5,3,18,9,24
Missouri State,4,Neutral,,W,13,5,35,12,18,25,18,10,5,35,12,25
Villanova,1,Neutral,W,W,7,5,26,10,24,25,16,16,5,29,11,17
Villanova,2,Neutral,,W,4,10,20,8,25,25,9,11,1,22,8,9
Villanova,3,Neutral,,W,8,6,21,11,24,25,16,11,3,21,12,17
Dayton,1,Away,W,W,12,3,29,11,18,25,17,10,6,33,10,24
Dayton,2,Away,,W,17,10,49,12,23,25,23,11,5,44,12,25
Dayton,3,Away,,W,16,6,40,16,23,25,22,9,6,29,15,24
Eastern Illinois,1,Away,W,W,12,6,34,11,16,25,15,5,7,27,10,24
Eastern Illinois,2,Away,,W,14,8,39,14,23,25,23,11,5,33,14,25
Eastern Illinois,3,Away,,W,15,7,42,13,23,25,22,10,8,41,12,24
Illinois State,1,Neutral,L,L,12,6,33,15,25,20,25,13,4,34,15,20
Illinois State,2,Neutral,,L,12,11,43,13,24,21,25,9,5,35,14,22
Illinois State,3,Neutral,,W,11,1,26,9,14,25,13,6,6,24,8,24
Illinois State,4,Neutral,,W,15,6,39,13,23,25,23,11,6,36,13,25
Illinois State,5,Neutral,,L,5,3,20,7,15,9,15,10,1,20,7,9
Marquette,1,Away,L,W,15,4,40,15,24,25,23,14,4,37,14,24
Marquette,2,Away,,L,12,4,27,13,24,20,25,13,4,31,14,21
Marquette,3,Away,,W,12,4,26,11,14,25,13,4,6,28,10,24
Marquette,4,Away,,L,10,8,32,13,24,19,25,12,6,28,14,20
Marquette,5,Away,,L,7,2,16,9,15,11,15,12,3,18,9,11
Maryland,1,Home,W,W,15,3,29,12,18,24,15,8,5,23,11,24
Maryland,2,Home,,L,11,9,35,13,24,18,25,11,4,29,14,19
Maryland,3,Home,,W,10,3,32,10,16,25,15,9,9,31,9,24
Maryland,4,Home,,W,19,8,44,12,23,25,23,9,3,39,12,25
Northwestern,1,Home,W,W,15,5,31,13,25,26,24,15,5,30,12,25
Northwestern,2,Home,,W,11,3,26,13,18,25,18,12,9,32,13,25
Northwestern,3,Home,,W,11,5,35,13,21,25,20,12,8,29,12,24
Purdue,1,Home,L,L,11,8,50,12,25,17,25,11,6,33,12,17
Purdue,2,Home,,L,9,6,32,15,24,17,25,12,4,23,16,18
Purdue,3,Home,,W,14,4,35,13,24,25,23,12,5,29,12,24
Purdue,4,Home,,W,18,3,35,15,17,25,17,10,4,30,15,25
Purdue,5,Home,,L,10,1,22,10,16,14,16,13,2,24,10,14
Wisconsin,1,Away,L,W,20,6,44,16,25,27,25,15,3,41,16,27
Wisconsin,2,Away,,L,12,6,36,13,25,20,25,14,2,33,13,20
Wisconsin,3,Away,,W,10,7,40,12,22,25,22,10,13,44,12,25
Wisconsin,4,Away,,L,14,6,40,12,25,19,25,17,2,39,12,19
Wisconsin,5,Away,,L,2,8,20,4,14,5,15,6,2,14,5,6
Maryland,1,Away,W,W,13,3,32,10,16,25,15,9,7,34,9,24
Maryland,2,Away,,W,20,10,46,11,22,25,22,8,3,34,11,25
Maryland,3,Away,,W,19,7,43,16,24,25,23,12,5,37,15,24
Penn State,1,Away,L,L,10,9,40,12,25,22,25,12,9,39,12,22
Penn State,2,Away,,L,11,4,28,15,24,22,25,17,7,34,16,23
Penn State,3,Away,,L,11,3,31,14,25,19,25,18,6,25,14,19
Rutgers,1,Home,W,W,16,5,32,,,25,16,7,6,27,,
Rutgers,2,Home,,W,13,4,29,,,26,24,11,7,36,,
Rutgers,3,Home,,W,18,4,38,,,25,17,7,4,27,,
Minnesota,1,Away,L,L,13,6,35,12,25,19,25,14,2,27,12,19
Minnesota,2,Away,,L,15,7,33,15,24,23,25,10,4,22,16,24
Minnesota,3,Away,,L,14,3,41,13,25,23,25,14,6,36,13,23
Ohio State,1,Away,L,L,3,7,22,,,10,25,14,1,25,,
Ohio State,2,Away,,L,12,5,36,,,23,25,17,4,38,,
Ohio State,3,Away,,L,16,5,33,,,23,25,13,5,29,,
Nebraska,1,Home,L,L,9,3,24,11,24,14,25,16,3,28,12,15
Nebraska,2,Home,,L,9,5,31,14,25,16,25,16,5,32,14,16
Nebraska,3,Home,,L,12,7,38,14,24,22,25,13,5,37,15,23
Penn State,1,Home,W,W,13,3,31,13,20,25,19,12,7,33,12,24
Penn State,2,Home,,W,12,4,28,13,20,25,20,11,8,31,13,25
Penn State,3,Home,,L,14,6,30,13,25,23,25,14,5,29,13,23
Penn State,4,Home,,W,14,4,31,16,23,25,23,15,5,30,16,25
Rutgers,1,Away,W,L,12,5,27,13,25,21,25,13,5,24,13,21
Rutgers,2,Away,,W,16,4,31,12,18,25,18,8,6,27,12,25
Rutgers,3,Away,,W,15,2,30,10,13,25,12,8,5,30,9,24
Rutgers,4,Away,,W,16,6,32,14,19,25,19,11,4,30,14,25
Wisconsin,1,Home,L,L,11,12,37,11,25,22,25,10,8,30,11,22
